frame,id,class,x,y,width,height
0,1,person,153.86795043945312,126.86091613769531,38.25811767578125,88.28341674804688
0,2,person,200.02894592285156,109.257080078125,29.171600341796875,76.732177734375
1,1,person,153.98886108398438,126.89715576171875,38.43414306640625,88.70636749267578
1,2,person,200.35108947753906,109.22917175292969,29.27880859375,76.9947509765625
2,1,person,154.689208984375,126.53951263427734,38.12318420410156,87.90211486816406
2,2,person,200.7527618408203,108.94129943847656,29.1263427734375,76.55773162841797
3,1,person,155.47134399414062,126.85688781738281,38.44703674316406,88.47613525390625
3,2,person,201.10081481933594,107.87060546875,29.903717041015625,78.81299591064453
4,1,person,155.96737670898438,127.36854553222656,38.60273742675781,88.6620864868164
4,2,person,201.58489990234375,108.50920104980469,30.256942749023438,80.07672119140625
5,1,person,156.40060424804688,127.7323226928711,38.790496826171875,88.87709045410156
5,2,person,202.62779235839844,109.39445495605469,30.270416259765625,80.42208099365234
6,1,person,156.9467010498047,128.58966064453125,39.252166748046875,89.7173080444336
6,2,person,204.0582275390625,110.40511322021484,30.128067016601562,80.17427062988281
7,1,person,157.26129150390625,130.34161376953125,40.38111877441406,92.29086303710938
7,2,person,205.14691162109375,110.85970306396484,29.776748657226562,79.28956604003906
8,1,person,157.57968139648438,131.5067138671875,41.569580078125,95.17394256591797
8,2,person,206.49978637695312,112.58001708984375,30.5318603515625,81.3171615600586
9,1,person,158.26763916015625,132.34832763671875,42.16029357910156,96.61647033691406
9,2,person,207.58200073242188,113.27552795410156,30.900375366210938,82.48741912841797
10,1,person,158.58482360839844,133.33985900878906,42.619903564453125,97.8926010131836
10,2,person,209.0382843017578,113.49676513671875,30.94146728515625,82.9425277709961
11,1,person,158.6870880126953,133.99166870117188,42.735565185546875,98.47059631347656
11,2,person,209.96075439453125,112.95710754394531,30.729751586914062,82.4520034790039
12,1,person,159.03860473632812,134.26499938964844,42.88157653808594,99.00424194335938
12,2,person,211.08172607421875,112.66317749023438,30.947525024414062,82.99221801757812
13,1,person,159.38967895507812,134.08676147460938,42.75926208496094,98.73933410644531
13,2,person,212.2333221435547,112.15892028808594,30.959869384765625,82.8888168334961
14,1,person,159.44992065429688,134.06304931640625,42.601593017578125,98.34778594970703
14,2,person,215.21878051757812,111.92410278320312,31.791290283203125,83.70446014404297
15,1,person,159.26226806640625,133.9625244140625,42.4378662109375,98.13163757324219
15,2,person,216.72470092773438,112.60874938964844,32.98719787597656,86.0390396118164
16,1,person,159.43331909179688,133.94241333007812,42.31932067871094,97.89012908935547
16,2,person,217.63763427734375,113.293212890625,33.552703857421875,86.79354858398438
17,1,person,159.98538208007812,134.04592895507812,42.45195007324219,97.9617919921875
17,2,person,218.47607421875,113.71569061279297,33.81730651855469,86.76600646972656
18,1,person,161.35540771484375,134.6322784423828,43.28022766113281,99.19786834716797
18,2,person,220.33071899414062,114.656982421875,34.94297790527344,88.59534454345703
